trial_number,value,params
35,0.021839415744190124,"{'num_factors': 287, 'scaling_items': 0.29981996447380177, 'scaling_users': 0.043186494590648064}"
36,0.026252317342554028,"{'num_factors': 300, 'scaling_items': 0.08579075922378007, 'scaling_users': 0.11286220593504956}"
37,0.019228837911813387,"{'num_factors': 296, 'scaling_items': 0.4737606532774656, 'scaling_users': 0.059632897111145375}"
38,0.015369282698841247,"{'num_factors': 257, 'scaling_items': 0.33656490495744834, 'scaling_users': 0.9919917130354368}"
39,0.026722203710245713,"{'num_factors': 270, 'scaling_items': 0.0824472055573668, 'scaling_users': 0.01377443683313094}"
40,0.019547112310151715,"{'num_factors': 94, 'scaling_items': 0.0758533363611491, 'scaling_users': 0.0187395094538685}"
41,0.02345425668393832,"{'num_factors': 270, 'scaling_items': 0.18465100155824432, 'scaling_users': 0.11424944515633768}"
42,0.026485852612552287,"{'num_factors': 286, 'scaling_items': 0.10217230383957027, 'scaling_users': 0.014596999906397456}"
43,0.027466785500170832,"{'num_factors': 299, 'scaling_items': 0.07352258035454085, 'scaling_users': 0.01713419673763037}"
44,0.021639555543065372,"{'num_factors': 255, 'scaling_items': 0.2725875380105669, 'scaling_users': 0.02089083326161718}"
45,0.026958564844552314,"{'num_factors': 274, 'scaling_items': 0.056567745728310144, 'scaling_users': 0.062177310377170905}"
46,0.014592112024666409,"{'num_factors': 272, 'scaling_items': 0.9240316596079696, 'scaling_users': 0.07182774901974301}"
47,0.01656063765059412,"{'num_factors': 248, 'scaling_items': 0.6183185710711413, 'scaling_users': 0.06953445489144366}"
48,0.025252583647367332,"{'num_factors': 276, 'scaling_items': 0.04976868199272979, 'scaling_users': 0.1724841334061945}"
49,0.02248715759535208,"{'num_factors': 265, 'scaling_items': 0.1734696243899771, 'scaling_users': 0.24710350075081622}"
50,0.01737813209254022,"{'num_factors': 294, 'scaling_items': 0.05775043387768665, 'scaling_users': 0.7952426317849606}"
51,0.028894334309337476,"{'num_factors': 289, 'scaling_items': 0.010375124096008367, 'scaling_users': 0.013319172100158125}"
52,0.028115654797589925,"{'num_factors': 292, 'scaling_items': 0.02525578533258694, 'scaling_users': 0.05375505344354619}"
53,0.028235721690504124,"{'num_factors': 290, 'scaling_items': 0.010915221255343367, 'scaling_users': 0.06013402056950287}"
54,0.027744262179541446,"{'num_factors': 290, 'scaling_items': 0.04529979915572869, 'scaling_users': 0.05381746928858075}"
55,0.024084230383550002,"{'num_factors': 290, 'scaling_items': 0.14762806911347343, 'scaling_users': 0.17379153112313897}"
56,0.014065836616421497,"{'num_factors': 52, 'scaling_items': 0.029573881734951478, 'scaling_users': 0.25754342940297204}"
57,0.028302075973149494,"{'num_factors': 298, 'scaling_items': 0.011080988704602786, 'scaling_users': 0.05883514154590445}"
58,0.01786940648374149,"{'num_factors': 70, 'scaling_items': 0.010243353788842002, 'scaling_users': 0.10954417086278048}"
59,0.020427011069715527,"{'num_factors': 169, 'scaling_items': 0.2142513470372248, 'scaling_users': 0.04830382672595054}"
60,0.014906348358813253,"{'num_factors': 152, 'scaling_items': 0.04520218378732707, 'scaling_users': 0.5982475174090247}"
61,0.01809908323341328,"{'num_factors': 292, 'scaling_items': 0.08412069173091669, 'scaling_users': 0.7363360877800571}"
62,0.025575674505038413,"{'num_factors': 299, 'scaling_items': 0.14185044111689818, 'scaling_users': 0.0517997635217276}"
63,0.026744080182282234,"{'num_factors': 279, 'scaling_items': 0.037550909081745784, 'scaling_users': 0.09989133946753367}"
64,0.025118803394783736,"{'num_factors': 300, 'scaling_items': 0.10502482605112637, 'scaling_users': 0.1671942921717192}"
65,0.027236873447669965,"{'num_factors': 290, 'scaling_items': 0.06572136444917394, 'scaling_users': 0.0523251148664851}"
66,0.026638820639916027,"{'num_factors': 277, 'scaling_items': 0.010975014490553457, 'scaling_users': 0.12430715738791626}"
67,0.02465392529726187,"{'num_factors': 266, 'scaling_items': 0.12862903066197953, 'scaling_users': 0.09126295674288683}"
68,0.022350691991049776,"{'num_factors': 279, 'scaling_items': 0.04523100117994522, 'scaling_users': 0.36528648432573285}"
69,0.019472645098207026,"{'num_factors': 242, 'scaling_items': 0.1584591465013302, 'scaling_users': 0.5037565879837793}"
70,0.016225018868833832,"{'num_factors': 290, 'scaling_items': 0.7578260646616354, 'scaling_users': 0.20360054319457666}"
71,0.027203076824254383,"{'num_factors': 292, 'scaling_items': 0.07244641466895227, 'scaling_users': 0.044286205339595014}"
72,0.026187011328436843,"{'num_factors': 283, 'scaling_items': 0.1005447567067235, 'scaling_users': 0.04549616092322668}"
73,0.026900894463000535,"{'num_factors': 293, 'scaling_items': 0.06303698303428333, 'scaling_users': 0.08865995982406094}"
74,0.027918942747587144,"{'num_factors': 283, 'scaling_items': 0.034061985700451214, 'scaling_users': 0.043201052489301055}"
75,0.025972796539553502,"{'num_factors': 282, 'scaling_items': 0.033772123233991216, 'scaling_users': 0.14372696267063473}"
76,0.017838590734555387,"{'num_factors': 264, 'scaling_items': 0.5369404951764909, 'scaling_users': 0.06946988093148716}"
77,0.022392914909143937,"{'num_factors': 134, 'scaling_items': 0.032770247754806546, 'scaling_users': 0.040953045533576087}"
78,0.023089035468053826,"{'num_factors': 183, 'scaling_items': 0.11829520335775515, 'scaling_users': 0.010564163249408287}"
79,0.02596463788790346,"{'num_factors': 299, 'scaling_items': 0.0917445752067853, 'scaling_users': 0.12498288229980957}"
80,0.022568591332291034,"{'num_factors': 250, 'scaling_items': 0.1948693233047979, 'scaling_users': 0.1543883371162264}"
81,0.027277150377911473,"{'num_factors': 287, 'scaling_items': 0.06799159750709016, 'scaling_users': 0.047161188254481096}"
82,0.027403465620360293,"{'num_factors': 286, 'scaling_items': 0.01103685975232211, 'scaling_users': 0.09765800498700529}"
83,0.026986694126840804,"{'num_factors': 283, 'scaling_items': 0.027646309676160177, 'scaling_users': 0.1038894870825009}"
84,0.02796963879788958,"{'num_factors': 275, 'scaling_items': 0.02259887942173351, 'scaling_users': 0.034351090836848855}"
85,0.02679122104102383,"{'num_factors': 260, 'scaling_items': 0.020200764453093458, 'scaling_users': 0.08167516632771339}"
86,0.028269636522923854,"{'num_factors': 277, 'scaling_items': 0.010726753057591635, 'scaling_users': 0.03079210530480906}"
87,0.027547981703922003,"{'num_factors': 273, 'scaling_items': 0.04750319712951931, 'scaling_users': 0.027782786304694294}"
88,0.016210859437450136,"{'num_factors': 273, 'scaling_items': 0.04982277151766308, 'scaling_users': 0.8847171671173608}"
89,0.02539260221287227,"{'num_factors': 276, 'scaling_items': 0.12487191611915667, 'scaling_users': 0.0345320958598202}"
90,0.025679910312820776,"{'num_factors': 267, 'scaling_items': 0.09820636577514658, 'scaling_users': 0.07717432846500938}"
91,0.02822939973913668,"{'num_factors': 294, 'scaling_items': 0.040426006004198274, 'scaling_users': 0.026727021845536093}"
92,0.02771016891843616,"{'num_factors': 294, 'scaling_items': 0.0383315653753283, 'scaling_users': 0.07006176124349765}"
93,0.015137616469324962,"{'num_factors': 294, 'scaling_items': 0.8648100530662586, 'scaling_users': 0.07227012056031523}"
94,0.02646603922219315,"{'num_factors': 280, 'scaling_items': 0.01005776817784012, 'scaling_users': 0.13153758996209713}"
95,0.02556805671534143,"{'num_factors': 295, 'scaling_items': 0.03537942859699113, 'scaling_users': 0.18126746872560165}"
96,0.025853487968553295,"{'num_factors': 286, 'scaling_items': 0.08979905596805152, 'scaling_users': 0.11513232154298675}"
97,0.016522256525137287,"{'num_factors': 263, 'scaling_items': 0.645249119783792, 'scaling_users': 0.031167081577668846}"
98,0.02729743102839118,"{'num_factors': 269, 'scaling_items': 0.058151595896447264, 'scaling_users': 0.010845083411556905}"
99,0.023603949429741616,"{'num_factors': 254, 'scaling_items': 0.1723580869734139, 'scaling_users': 0.06369360362101559}"
100,0.02114125886790548,"{'num_factors': 113, 'scaling_items': 0.03409401068107876, 'scaling_users': 0.059919555857905274}"
101,0.027345762898609086,"{'num_factors': 275, 'scaling_items': 0.058265942822888904, 'scaling_users': 0.03238187395852438}"
102,0.02690416416866457,"{'num_factors': 289, 'scaling_items': 0.08297320991394011, 'scaling_users': 0.034869113786251196}"
103,0.026721476613351648,"{'num_factors': 281, 'scaling_items': 0.04402102201940309, 'scaling_users': 0.09820699281457074}"
104,0.025591622683995237,"{'num_factors': 272, 'scaling_items': 0.10782634555198115, 'scaling_users': 0.0794164526051381}"
105,0.028641545468981303,"{'num_factors': 297, 'scaling_items': 0.0247190326060878, 'scaling_users': 0.011289336673917537}"
106,0.028287880856028878,"{'num_factors': 300, 'scaling_items': 0.02598980532241825, 'scaling_users': 0.05497728819708549}"
107,0.027325962890401404,"{'num_factors': 297, 'scaling_items': 0.010694701832130029, 'scaling_users': 0.11414095712518957}"
108,0.025723502671077068,"{'num_factors': 300, 'scaling_items': 0.13156270505583356, 'scaling_users': 0.05576465770666154}"
109,0.02538585983891411,"{'num_factors': 283, 'scaling_items': 0.07320382970027399, 'scaling_users': 0.15930887947957484}"
110,0.028555080043107774,"{'num_factors': 289, 'scaling_items': 0.023481539330884364, 'scaling_users': 0.027157850406993103}"
111,0.028340307664581947,"{'num_factors': 289, 'scaling_items': 0.02902951128609821, 'scaling_users': 0.02233792000891538}"
112,0.02753028046312891,"{'num_factors': 295, 'scaling_items': 0.06672568490448993, 'scaling_users': 0.026730408950608287}"
113,0.028588985954093274,"{'num_factors': 288, 'scaling_items': 0.02732029550124312, 'scaling_users': 0.015218281014501664}"
114,0.026415029806511465,"{'num_factors': 207, 'scaling_items': 0.022621605527877054, 'scaling_users': 0.011034044753718216}"
115,0.020123993439177132,"{'num_factors': 287, 'scaling_items': 0.3927555244555572, 'scaling_users': 0.02799955703111048}"
116,0.02708320620289447,"{'num_factors': 300, 'scaling_items': 0.089840050649835, 'scaling_users': 0.010273929256532248}"
117,0.027333538303285394,"{'num_factors': 278, 'scaling_items': 0.010097776122568788, 'scaling_users': 0.0877834652188938}"
118,0.01898343936457972,"{'num_factors': 292, 'scaling_items': 0.42396447035311685, 'scaling_users': 0.4411736533486206}"
119,0.027292257711687227,"{'num_factors': 289, 'scaling_items': 0.058065632851087005, 'scaling_users': 0.05925091329896696}"
120,0.027435645233812398,"{'num_factors': 294, 'scaling_items': 0.0265922610731205, 'scaling_users': 0.10091836959731344}"
121,0.02794090397324935,"{'num_factors': 283, 'scaling_items': 0.02982023819460749, 'scaling_users': 0.04236929680654768}"
122,0.028018728990021623,"{'num_factors': 278, 'scaling_items': 0.02688158719525116, 'scaling_users': 0.0420055348678533}"
123,0.026455037978545273,"{'num_factors': 276, 'scaling_items': 0.07623986682918732, 'scaling_users': 0.06880979554048633}"
124,0.027758615652120653,"{'num_factors': 289, 'scaling_items': 0.04764885152807422, 'scaling_users': 0.030385640937059533}"
125,0.026320057793050848,"{'num_factors': 300, 'scaling_items': 0.10865667913188722, 'scaling_users': 0.052481079689072986}"
126,0.026908361703493873,"{'num_factors': 286, 'scaling_items': 0.05772826194349147, 'scaling_users': 0.08768417701059933}"
127,0.02836194214271382,"{'num_factors': 280, 'scaling_items': 0.02661277159092069, 'scaling_users': 0.010628977309247271}"
128,0.02678107625506705,"{'num_factors': 280, 'scaling_items': 0.08674610626519512, 'scaling_users': 0.010249459922646316}"
129,0.02665606242684369,"{'num_factors': 295, 'scaling_items': 0.028391850626776103, 'scaling_users': 0.13142812854384012}"
130,0.019199626905618165,"{'num_factors': 269, 'scaling_items': 0.04818325664808494, 'scaling_users': 0.5634691403753846}"
131,0.028276900800787336,"{'num_factors': 278, 'scaling_items': 0.013098532856990776, 'scaling_users': 0.033128146615062186}"
132,0.02833693536242374,"{'num_factors': 292, 'scaling_items': 0.01212671208531437, 'scaling_users': 0.0579701430476766}"
